Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-11-02,2027.0,2027.0,1859.150024,1877.449951,1871.429688,45857806.0,2081.654993,2100.61001,2034.025,2053.43999,2046.85542,17285939.7
2020-11-03,1890.0,1909.0,1835.099976,1850.400024,1844.466553,40931170.0,2052.754993,2072.21001,2002.309997,2022.890002,2016.403394,20526099.4
2020-11-04,1837.0,1929.0,1837.0,1913.199951,1907.065063,37003111.0,2019.654993,2045.91001,1976.234997,2001.749988,1995.331165,22653511.9
2020-11-05,1954.949951,1960.949951,1932.0,1955.0,1948.731079,17170274.0,2002.409998,2028.755005,1960.334997,1986.554993,1980.184888,22949017.8
2020-11-06,1990.0,2040.0,1978.150024,2029.150024,2022.643311,30770080.0,1990.809997,2019.255005,1948.51001,1978.16499,1971.821777,24945095.1
2020-11-09,2062.100098,2069.0,2036.0,2050.699951,2044.124146,16539467.0,1986.825012,2015.96001,1950.26001,1980.324988,1973.974854,24876520.6
2020-11-10,2077.0,2090.0,2041.199951,2084.550049,2077.865723,17045147.0,1991.03501,2018.975,1953.880005,1985.329992,1978.963806,24897534.8
2020-11-11,2089.0,2095.0,1978.099976,1997.199951,1990.795654,26178477.0,1995.755005,2022.705005,1950.95,1983.904992,1977.543372,26134389.6
2020-11-12,1981.0,2008.449951,1965.0,1980.0,1973.650879,18481466.0,1994.155005,2019.35,1948.35,1979.21499,1972.868408,26567794.4
2020-11-13,1982.0,2036.650024,1981.75,1996.400024,1989.998291,20946864.0,1989.005005,2016.504993,1944.344995,1973.404993,1967.077039,27092386.2
2020-11-14,,,,,,,,,,,,
2020-11-17,2085.0,2085.0,1985.0,1993.25,1986.858398,21479385.0,2006.450005,2034.894436,1970.466661,1999.938883,1993.525838,22846030.111111
2020-11-18,1993.25,2006.5,1960.099976,1987.199951,1980.827759,14030652.0,2023.811117,2043.505547,1984.144436,2008.161106,2001.721693,20293534.666667
2020-11-19,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008.0,2027.39445,2049.005547,1988.166653,2010.177775,2003.731893,19811060.666667
2020-11-20,1975.0,1983.800049,1895.0,1899.5,1893.409058,26522972.0,2025.727783,2042.761108,1978.927762,1995.772217,1989.372532,19339159.777778
2020-11-23,1951.0,1970.0,1926.25,1950.699951,1944.444824,20918665.0,2013.383328,2031.761108,1966.733317,1984.661106,1978.297051,19825737.333333
2020-11-24,1964.0,1974.0,1932.0,1964.050049,1957.752075,14277083.0,2000.827772,2018.872219,1954.599989,1971.272217,1964.95109,19518174.666667
2020-11-25,1980.0,1992.949951,1942.199951,1947.800049,1941.554199,15062376.0,1988.716661,2007.533325,1950.611098,1965.783339,1959.479818,18283052.333333
2020-11-26,1953.050049,1965.0,1930.050049,1952.599976,1946.338745,11924527.0,1985.611111,2002.705553,1946.72777,1962.738892,1956.445136,17554503.555556
2020-11-27,1940.5,1956.099976,1921.400024,1929.800049,1923.611938,21845931.0,1981.0,1993.755547,1940.022217,1955.338894,1949.068875,17654399.888889
2020-12-01,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939.0,1976.934998,1991.004993,1939.025,1955.295007,1949.025134,16800453.8
2020-12-02,1958.5,1962.0,1935.0,1958.150024,1951.870972,10240168.0,1964.284998,1978.704993,1934.025,1951.78501,1945.526392,15676532.1
2020-12-03,1972.0,1981.099976,1958.650024,1964.050049,1957.752075,12822945.0,1962.159998,1976.16499,1933.880005,1949.470019,1943.218823,15555761.4
2020-12-04,1969.0,1969.0,1940.0,1946.75,1940.507568,8521388.0,1960.340003,1972.019995,1931.06001,1946.830017,1940.587292,15125099.4
2020-12-07,1940.599976,1965.0,1940.599976,1958.199951,1951.920776,8418767.0,1956.9,1970.13999,1935.620007,1952.700012,1946.438464,13314678.9
2020-12-08,1961.150024,2014.25,1950.0,1993.75,1987.356812,20030506.0,1957.915003,1974.56499,1937.995007,1957.005017,1950.729663,13225863.0
2020-12-09,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375.0,1962.509998,1980.544995,1944.720007,1963.295007,1956.999487,13144592.2
2020-12-10,2021.599976,2028.5,2001.0,2007.0,2000.564331,7414229.0,1966.669995,1984.1,1950.600012,1969.215002,1962.9005,12379777.5
